Asset1,Asset2,Asset3,Asset7,Asset8,Asset9,B2B_purchase1,Capital1,CapitalRatio1,Cost1,Cost10,Cost11,Cost12,Cost13,Cost14,Cost15,Cost16,Cost17,Cost2,Cost3,Cost4,Cost5,Cost8,Cost9,Design1,Emp_female,Emp_male,Emp_total,EquityShareCapital,ITAssetC,Liability1,Liability2,Liability3,NProfitB4Tax,OutsourcingCost,Patent1,RNDcost1,RevProfit1,RevProfit2,TAssetC1,TAssetC2,TAssetC3,TAssetC4,TAssetC5,TAssetC6,TAssetC7,TAssetC8,TradeMark1,UMR1,emp2,emp3,emp4,emp6,emp66,emp7,emp8
9730,9045,,,263.0,298.0,,4008,0.0,0,183,9.0,391.0,179.0,2820,5.0,0.0,0.0,6645,5,6645.0,0.0,2845,218,0.0,44.0,37.0,81,8000.0,0.0,5722,5700.0,22.0,240,,0.0,,6762,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,36.0,41.0,31,,22.0,9.0
5058,3283,,,298.0,149.0,,2920,0.0,0,168,1198.0,194.0,0.0,1264,1.0,0.0,1.0,35782,1,35782.0,0.0,32476,482,0.0,27.0,1268.0,1295,1000.0,0.0,2138,2138.0,,459,,0.0,,36147,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295,1268.0,27.0,10,,3.0,7.0
171326,93479,,28419.0,39712.0,720.0,,-8844,0.0,0,1180,330.0,976.0,588.0,17246,2623.0,0.0,15.0,28750,2623,28750.0,0.0,8023,407,7.0,24.0,56.0,80,2000.0,141.0,180170,177341.0,2829.0,1641,1186.0,0.0,5.0,23200,9814,12952.0,9764.0,2764.0,0.0,0.0,0.0,424.0,0.0,59.0,0.0,71,51.0,20.0,71,,51.0,20.0
2312,1937,,2.0,250.0,35.0,,854,0.0,0,41,195.0,11.0,0.0,2973,36.0,36.0,0.0,10242,36,10242.0,0.0,6827,195,0.0,93.0,677.0,770,300.0,0.0,1458,1458.0,,194,,0.0,,10471,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,7.0,7.0,14,63.0,7.0,7.0
2224,617,,1.0,1381.0,3.0,,933,0.0,0,0,78.0,4.0,0.0,394,24.0,22.0,2.0,2737,24,2737.0,0.0,2250,11,0.0,37.0,73.0,110,500.0,0.0,1291,1291.0,,48,,0.0,,2799,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,110,73.0,37.0,4,,3.0,1.0
3204,2547,,433.0,46.0,,0.0,1382,0.0,33858,46,25.0,1.0,1.0,4192,663.0,1.0,660.0,1227,663,35085.0,0.0,30731,89,0.0,581.0,885.0,1466,800.0,0.0,1822,944.0,878.0,251,0.0,0.0,0.0,35770,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1466,885.0,581.0,21,,18.0,3.0
3911,2936,,738.0,74.0,45.0,,2008,0.0,0,43,492.0,0.0,15.0,653,1.0,0.0,0.0,18352,1,18352.0,0.0,17115,34,0.0,306.0,291.0,597,500.0,0.0,1903,1903.0,,683,,0.0,,18970,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597,291.0,306.0,20,14.0,13.0,7.0
364564,226167,,80803.0,29834.0,10254.0,29396.0,164678,27.0,0,5335,1799.0,17455.0,467.0,168059,3002.0,0.0,537.0,283999,3002,283999.0,0.0,87273,3611,1.0,1116.0,982.0,2098,5808.0,5895.0,199886,199418.0,468.0,36306,,2.0,,315418,7889,5151.0,1888.0,366.0,0.0,0.0,273.0,2624.0,0.0,194.0,0.0,1258,499.0,759.0,1258,,499.0,759.0
2516,1519,62.0,,57.0,,,812,0.0,0,0,61.0,1.0,0.0,264,89.0,85.0,4.0,2378,89,2378.0,0.0,2003,49,0.0,37.0,79.0,116,500.0,0.0,1704,1256.0,448.0,97,,0.0,,2535,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,79.0,37.0,10,,2.0,8.0
28747,12714,0.0,3445.0,545.0,411.0,5349.0,19170,0.0,49797,367,75.0,44.0,20.0,8589,237.0,0.0,7.0,4608,237,54405.0,29004.0,16306,0,1.0,42.0,100.0,142,7000.0,171.0,9577,7775.0,1802.0,775,0.0,3.0,0.0,54485,932,93.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,31.0,1.0,120,84.0,36.0,120,62.0,84.0,36.0
10232,7096,2391.0,1.0,234.0,102.0,,1643,0.0,40022,87,365.0,0.0,0.0,10127,97.0,79.0,0.0,2627,97,42649.0,8902.0,22903,265,0.0,727.0,51.0,778,1000.0,75.0,8589,7212.0,1377.0,-129,,0.0,,42511,106,216.0,0.0,0.0,0.0,0.0,0.0,201.0,15.0,1.0,0.0,778,51.0,727.0,43,,33.0,10.0
